id, name, rating, position, height, foot, rare, pace, shooting, passing, dribbling, defending, heading
1001, GÃ¡bor KirÃ¡ly,69, GK,191, Right,0, , , , , , 
100143, Frederik Boi,65, M,184, Right,0,61,65,63,59,62,62
100264, Tomasz Szewczuk,57, A,185, Right,0,65,54,43,53,55,74
100325, Steeve Joseph-Reinette,63, D,180, Left,0,68,38,51,46,64,71
100326, Kamel Chafni,72, M,181, Right,0,75,64,67,72,57,66
100329, Abdoulaye Faye,72, D,187, Right,1,50,37,47,43,76,82
100330, JosÃ© Saez,67, M,170, Right,0,53,60,65,61,64,60
100391, Laurent Delorge,67, M,179, Right,0,76,58,67,64,63,56
100521, David Noble,64, M,183, Right,1,62,52,66,65,56,53
100522, Dominic Foley,62, A,186, Left,1,34,65,55,55,56,77
100557, Brian Barry-Murphy,60, M,185, Left,0,61,54,60,47,60,48
100559, Paul McKenna,68, M,170, Right,0,53,65,68,63,70,69
100574, PaweÅ‚ Abbott,59, A,187, Right,0,51,60,49,51,54,64
100578, Richard Cresswell,66, A,183, Right,1,56,63,53,49,62,72
100580, David Healy,69, A,173, Right,0,64,72,51,60,48,69
100585, Dickson Etuhu,75, M,188, Right,1,59,55,64,63,80,72
100670, Ashley Westwood,54, D,183, Right,0,47,26,39,40,62,57
100701, Paul Ifill,70, A,180, Right,0,72,65,59,78,54,52
100707, David Artell,59, D,188, Right,0,48,27,38,36,65,68
100743, Martin Rowlands,64, M,175, Right,1,52,60,66,66,63,59
100745, Paul Smith,64, GK,193, Right,1, , , , , , 
100751, Kevin O'Connor,59, D,180, Right,0,53,48,60,53,62,55
100756, Stephen Hunt,56, D,185, Left,0,67,32,46,46,59,63
100758, Jay Tabb,63, M,170, Left,1,69,58,66,65,59,66
100792, Brynjar Gunnarsson,61, M,183, Right,0,34,54,61,65,68,66
100798, James O'Connor,63, M,173, Right,0,61,53,61,60,68,70
100803, Karl Henry,71, M,185, Right,0,55,57,71,71,73,64
100804, Gareth Owen,62, D,185, Left,0,61,19,48,46,65,67
